t	alfa	omega	energia
0	1.0472	0	4.905
0.1	1.0049	-0.842435	4.90496
0.2	0.880208	-1.63937	4.90488
0.3	0.680468	-2.33235	4.90483
0.4	0.419684	-2.84728	4.90484
0.5	0.119498	-3.10963	4.90485
0.6	-0.192189	-3.0738	4.90476
0.7	-0.485433	-2.74637	4.90459
0.8	-0.73352	-2.18246	4.90448
0.9	-0.916593	-1.45886	4.90448
1	-1.02235	-0.64662	4.90452
1.1	-1.04479	0.199636	4.90452
1.2	-0.982756	1.03574	4.90447
1.3	-0.839548	1.81411	4.90439
1.4	-0.623925	2.47227	4.90435
1.5	-0.351667	2.93394	4.90437
1.6	-0.0461205	3.12856	4.90436
1.7	0.263871	3.02149	4.90424
1.8	0.548668	2.63217	4.90408
1.9	0.782953	2.02369	4.904
2	0.948681	1.27346	4.90401
2.1	1.03518	0.448912	4.90404
2.2	1.0377	-0.398786	4.90403
2.3	0.956097	-1.22599	4.90397
2.4	0.79484	-1.98233	4.9039
2.5	0.5642	-2.60134	4.90387
2.6	0.281764	-3.00568	4.90389
2.7	-0.0275261	-3.13054	4.90387
2.8	-0.334157	-2.95334	4.90372
2.9	-0.609092	-2.50576	4.90357
3	-0.828572	-1.85708	4.90352
3.1	-0.976367	-1.08397	4.90355
3.2	-1.04335	-0.2499	4.90357
3.3	-1.02593	0.596891	4.90355
3.4	-0.924997	1.41244	4.90348
3.5	-0.746247	2.14304	4.90341
3.6	-0.501559	2.71851	4.9034
3.7	-0.210336	3.06177	4.90342
3.8	0.101042	3.11555	4.90336
3.9	0.402681	2.87003	4.90321
4	0.666426	2.36816	4.90307
4.1	0.870202	1.68361	4.90305
4.2	0.999562	0.891128	4.90308
4.3	1.04682	0.0501467	4.90309
4.4	1.00951	-0.79337	4.90306
4.5	0.889551	-1.59432	4.90298
4.6	0.693955	-2.29525	4.90292
4.7	0.43629	-2.82276	4.90293
4.8	0.137755	-3.10162	4.90294
4.9	-0.17403	-3.08372	4.90286
5	-0.469096	-2.77236	4.90269
5.1	-0.720418	-2.2204	4.90258
5.2	-0.90769	-1.50419	4.90257
5.3	-1.01819	-0.695608	4.90261
5.4	-1.0456	0.149801	4.90261
5.5	-0.988479	0.987605	4.90256
5.6	-0.849874	1.77079	4.90249
5.7	-0.638173	2.4379	4.90244
5.8	-0.368709	2.91313	4.90246
5.9	-0.0644105	3.12478	4.90246
6	0.246095	3.03538	4.90234
6.1	0.533071	2.66122	4.90218
6.2	0.770838	2.06353	4.90209
6.3	0.940902	1.31968	4.9021
6.4	1.0322	0.498043	4.90214
6.5	1.03966	-0.349398	4.90213
6.6	0.962903	-1.17894	4.90207
6.7	0.8061	-1.94095	4.90199
6.8	0.579137	-2.56994	4.90196
6.9	0.29915	-2.98874	4.90199
7	-0.00930309	-3.13099	4.90196
7.1	-0.316855	-2.97102	4.90183
7.2	-0.594299	-2.53758	4.90167
7.3	-0.817481	-1.89855	4.90161
7.4	-0.969726	-1.13088	4.90164
7.5	-1.04153	-0.299027	4.90166
7.6	-1.02903	0.548088	4.90164
7.7	-0.932852	1.36665	4.90157
7.8	-0.758387	2.10382	4.9015
7.9	-0.517107	2.6903	4.90149
8	-0.227971	3.04884	4.90151
8.1	0.0829849	3.12016	4.90146
8.2	0.385937	2.89128	4.90131
8.3	0.652496	2.40246	4.90117
8.4	0.860165	1.72645	4.90114
8.5	0.994066	0.938532	4.90117
8.6	1.04617	0.0991301	4.90119
8.7	1.01372	-0.745293	4.90115
8.8	0.898418	-1.54998	4.90108
8.9	0.706916	-2.25842	4.90102
9	0.45237	-2.79795	4.90102
9.1	0.155543	-3.09277	4.90104
9.2	-0.156234	-3.0924	4.90096
9.3	-0.452988	-2.79692	4.90079
9.4	-0.707401	-2.2569	4.90068
9.5	-0.898731	-1.54816	4.90066
9.6	-1.01384	-0.74334	4.9007
9.7	-1.04609	0.101096	4.90071
9.8	-0.993791	0.940402	4.90066
9.9	-0.85971	1.72809	4.90058
