t	alfa	omega	energia
0	0.523599	0.785398	6.7187
0.1	0.593616	0.611721	6.7187
0.2	0.645389	0.421456	6.7187
0.3	0.677539	0.220166	6.7187
0.4	0.689235	0.0132562	6.7187
0.5	0.680179	-0.193989	6.7187
0.6	0.650602	-0.396292	6.71869
0.7	0.601265	-0.588269	6.71869
0.8	0.533477	-0.764374	6.71868
0.9	0.449108	-0.918966	6.71868
1	0.350587	-1.04653	6.71868
1.1	0.240874	-1.14203	6.71868
1.2	0.123389	-1.20138	6.71868
1.3	0.00189624	-1.2219	6.71868
1.4	-0.119659	-1.20261	6.71867
1.5	-0.237325	-1.14443	6.71867
1.6	-0.347333	-1.05	6.71866
1.7	-0.446248	-0.923357	6.71865
1.8	-0.531096	-0.769523	6.71865
1.9	-0.599429	-0.594001	6.71865
2	-0.64936	-0.402432	6.71865
2.1	-0.679565	-0.200368	6.71865
2.2	-0.689264	0.00680256	6.71865
2.3	-0.67821	0.213801	6.71865
2.4	-0.646685	0.415345	6.71864
2.5	-0.595503	0.606034	6.71864
2.6	-0.526026	0.78031	6.71863
2.7	-0.440177	0.93253	6.71863
2.8	-0.340439	1.05721	6.71863
2.9	-0.229822	1.14938	6.71863
3	-0.111783	1.20508	6.71863
3.1	0.00988932	1.22176	6.71863
3.2	0.131239	1.19866	6.71862
3.3	0.248327	1.13684	6.71862
3.4	0.357407	1.03911	6.71861
3.5	0.455087	0.909616	6.7186
3.6	0.538439	0.753445	6.7186
3.7	0.60507	0.57613	6.7186
3.8	0.653148	0.38331	6.7186
3.9	0.681399	0.180522	6.7186
4	0.689099	-0.0268605	6.7186
4.1	0.67605	-0.233563	6.7186
4.2	0.642585	-0.434297	6.71859
4.3	0.58957	-0.623648	6.71859
4.4	0.518421	-0.796041	6.71858
4.5	0.431116	-0.945838	6.71858
4.6	0.33019	-1.06758	6.71858
4.7	0.2187	-1.15639	6.71858
4.8	0.100142	-1.20841	6.71858
4.9	-0.0216723	-1.22126	6.71858
5	-0.142781	-1.19435	6.71857
5.1	-0.259254	-1.12892	6.71857
5.2	-0.367375	-1.02792	6.71856
5.3	-0.463792	-0.895625	6.71855
5.4	-0.545626	-0.73717	6.71855
5.5	-0.610538	-0.558115	6.71855
5.6	-0.65675	-0.364095	6.71855
5.7	-0.683042	-0.160632	6.71855
5.8	-0.68874	0.0469129	6.71855
5.9	-0.673699	0.253271	6.71855
6	-0.638302	0.453145	6.71854
6.1	-0.583467	0.641104	6.71854
6.2	-0.510665	0.811562	6.71854
6.3	-0.421927	0.958884	6.71853
6.4	-0.319842	1.07765	6.71853
6.5	-0.207512	1.16306	6.71853
6.6	-0.0884701	1.21138	6.71853
6.7	0.0334491	1.22039	6.71853
6.8	0.154279	1.18968	6.71853
6.9	0.270103	1.12066	6.71852
7	0.377235	1.01644	6.71851
7.1	0.472362	0.881389	6.71851
7.2	0.552656	0.720702	6.7185
7.3	0.615832	0.539959	6.7185
7.4	0.660167	0.344792	6.7185
7.5	0.684493	0.140704	6.7185
7.6	0.688188	-0.066955	6.7185
7.7	0.671158	-0.272919	6.7185
7.8	0.633838	-0.471883	6.71849
7.9	0.577197	-0.658398	6.71849
8	0.50276	-0.826868	6.71849
8.1	0.412613	-0.971665	6.71848
8.2	0.309397	-1.08741	6.71848
8.3	0.19626	-1.16938	6.71849
8.4	0.0767711	-1.21397	6.71848
8.5	-0.0452161	-1.21914	6.71848
8.6	-0.165731	-1.18464	6.71848
8.7	-0.280872	-1.11208	6.71847
8.8	-0.386982	-1.00468	6.71846
8.9	-0.480793	-0.866915	6.71846
9	-0.559526	-0.704047	6.71845
9.1	-0.620951	-0.521669	6.71845
9.2	-0.663397	-0.325405	6.71845
9.3	-0.685752	-0.120742	6.71845
9.4	-0.687443	0.086982	6.71845
9.5	-0.668429	0.292503	6.71845
9.6	-0.629193	0.490505	6.71845
9.7	-0.57076	0.675525	6.71844
9.8	-0.494708	0.841955	6.71844
9.9	-0.403177	0.984176	6.71844
